2024-06-13 16:54:05.535 -05:00 [INF] INICIO | Database - ExecuteNonQueryAsync
2024-06-13 16:54:05.537 -05:00 [INF] INICIO | ViviendaITRespository - AddViviendaUsuarioAsync
2024-06-13 16:54:05.537 -05:00 [INF] INICIO | Database - ExecuteNonQueryAsync
2024-06-13 16:54:05.552 -05:00 [INF] FIN | Database - ExecuteNonQueryAsync
2024-06-13 16:54:05.553 -05:00 [INF] FIN | ViviendaITRespository - AddViviendaUsuarioAsync
2024-06-13 16:54:05.554 -05:00 [INF] FIN | Database - ExecuteNonQueryAsync
2024-06-13 16:54:05.554 -05:00 [INF] FIN | Database - ExecuteNonQueryAsync
2024-06-13 16:54:05.554 -05:00 [INF] FIN | ViviendaITRespository - AddViviendaUsuarioAsync
2024-06-13 16:54:05.554 -05:00 [INF] FIN | ViviendaITRespository - AddViviendaUsuarioAsync
2024-06-13 16:54:05.571 -05:00 [INF] FIN | Database - ExecuteNonQueryAsync
2024-06-13 16:54:05.571 -05:00 [INF] FIN | ViviendaITRespository - AddViviendaUsuarioAsync
2024-06-13 17:49:59.365 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-13 17:49:59.434 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 17:49:59.434 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-13 17:51:11.175 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-13 17:51:11.318 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 17:51:11.318 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-13 17:51:28.470 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-13 17:51:28.515 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 17:51:28.515 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-13 17:51:47.811 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-13 17:51:47.830 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 17:51:47.830 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-13 17:51:56.275 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-13 17:51:56.298 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 17:51:56.298 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-13 18:02:16.421 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-13 18:02:16.515 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 18:02:16.515 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-13 18:05:52.772 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-13 18:05:52.842 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 18:05:52.842 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-13 18:42:38.353 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-13 18:42:38.444 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 18:42:38.444 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-13 19:17:39.564 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-13 19:17:39.662 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 19:17:39.662 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-13 19:25:04.193 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-13 19:25:04.289 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 19:25:04.289 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-13 19:26:11.525 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-13 19:26:11.723 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 19:26:11.723 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-13 19:31:22.103 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-13 19:31:22.561 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 19:31:22.561 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-13 19:33:36.159 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-13 19:33:36.233 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 19:33:36.233 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-13 19:33:54.209 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-13 19:33:54.265 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 19:33:54.265 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-13 19:34:08.638 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-13 19:34:08.656 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 19:34:08.656 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-13 19:42:52.652 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-13 19:42:52.739 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 19:42:52.740 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-13 19:43:59.739 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-13 19:43:59.846 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 19:43:59.847 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-13 19:45:16.128 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-13 19:45:16.449 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 19:45:16.449 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-13 19:49:21.855 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-13 19:49:21.917 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 19:49:21.917 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-13 19:50:03.383 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-13 19:50:03.436 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 19:50:03.436 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-13 19:51:41.452 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-13 19:51:41.508 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 19:51:41.508 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-13 19:52:15.217 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-13 19:52:15.275 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 19:52:15.275 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-13 19:52:36.971 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-13 19:52:36.992 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 19:52:36.992 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-13 19:53:32.343 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-13 19:53:32.472 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 19:53:32.472 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-13 19:58:59.186 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-13 19:58:59.274 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 19:58:59.274 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-13 19:59:49.587 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-13 19:59:49.650 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 19:59:49.651 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-13 20:02:26.664 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-13 20:02:26.734 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 20:02:26.734 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-13 20:02:35.458 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-13 20:02:35.492 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 20:02:35.492 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-13 20:04:25.108 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-13 20:04:25.170 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 20:04:25.170 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-13 20:07:12.208 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-13 20:07:12.276 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 20:07:12.276 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-13 20:16:27.071 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-13 20:16:27.402 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 20:16:27.402 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-13 20:17:10.472 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-13 20:17:10.499 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 20:17:10.499 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-13 20:27:23.184 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-13 20:27:23.497 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 20:27:23.498 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-13 20:28:15.420 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-13 20:28:15.646 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 20:28:15.646 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
