2024-06-05 15:53:47.790 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-05 15:53:48.106 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 15:53:48.106 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-05 15:54:11.392 -05:00 [INF] INICIO | ViviendaRepository - GetViviendaByIdAsync
2024-06-05 15:54:11.393 -05:00 [INF] INICIO | Database - ExecuteScalarAsync
2024-06-05 15:54:11.408 -05:00 [INF] FIN | Database - ExecuteScalarAsync
2024-06-05 15:54:11.408 -05:00 [INF] FIN | ViviendaRepository - GetViviendaByIdAsync
2024-06-05 15:56:40.269 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-05 15:56:40.461 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 15:56:40.462 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-05 15:56:48.107 -05:00 [INF] INICIO | ViviendaRepository - GetViviendaByIdAsync
2024-06-05 15:56:48.109 -05:00 [INF] INICIO | Database - ExecuteScalarAsync
2024-06-05 15:56:48.120 -05:00 [INF] FIN | Database - ExecuteScalarAsync
2024-06-05 15:56:48.120 -05:00 [INF] FIN | ViviendaRepository - GetViviendaByIdAsync
2024-06-05 15:57:12.228 -05:00 [INF] INICIO | ViviendaRepository - UpdateViviendaAsync
2024-06-05 15:57:12.229 -05:00 [INF] INICIO | Database - ExecuteNonQueryAsync
2024-06-05 15:57:12.247 -05:00 [INF] FIN | Database - ExecuteNonQueryAsync
2024-06-05 15:57:12.247 -05:00 [INF] FIN | ViviendaRepository - UpdateViviendaAsync
2024-06-05 15:57:21.882 -05:00 [INF] INICIO | ViviendaRepository - GetViviendaByIdAsync
2024-06-05 15:57:21.882 -05:00 [INF] INICIO | Database - ExecuteScalarAsync
2024-06-05 15:57:21.887 -05:00 [INF] FIN | Database - ExecuteScalarAsync
2024-06-05 15:57:21.887 -05:00 [INF] FIN | ViviendaRepository - GetViviendaByIdAsync
2024-06-05 15:57:30.105 -05:00 [INF] INICIO | ViviendaRepository - DeleteViviendaAsync
2024-06-05 15:57:30.105 -05:00 [INF] INICIO | Database - ExecuteNonQueryAsync
2024-06-05 15:57:30.112 -05:00 [INF] FIN | Database - ExecuteNonQueryAsync
2024-06-05 15:57:30.112 -05:00 [INF] FIN | ViviendaRepository - DeleteViviendaAsync
2024-06-05 15:57:37.090 -05:00 [INF] INICIO | ViviendaRepository - GetViviendaByIdAsync
2024-06-05 15:57:37.090 -05:00 [INF] INICIO | Database - ExecuteScalarAsync
2024-06-05 15:57:37.091 -05:00 [INF] FIN | Database - ExecuteScalarAsync
2024-06-05 15:57:37.091 -05:00 [INF] FIN | ViviendaRepository - GetViviendaByIdAsync
2024-06-05 15:58:45.124 -05:00 [INF] INICIO | ViviendaRepository - GetViviendaByIdAsync
2024-06-05 15:58:45.157 -05:00 [INF] INICIO | Database - ExecuteScalarAsync
2024-06-05 15:58:45.302 -05:00 [INF] FIN | Database - ExecuteScalarAsync
2024-06-05 15:58:45.302 -05:00 [INF] FIN | ViviendaRepository - GetViviendaByIdAsync
2024-06-05 16:00:43.218 -05:00 [INF] INICIO | ViviendaRepository - GetViviendaByIdAsync
2024-06-05 16:00:43.255 -05:00 [INF] INICIO | Database - ExecuteScalarAsync
2024-06-05 16:00:43.410 -05:00 [INF] FIN | Database - ExecuteScalarAsync
2024-06-05 16:00:43.410 -05:00 [INF] FIN | ViviendaRepository - GetViviendaByIdAsync
2024-06-05 16:05:03.866 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-05 16:05:03.906 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 16:05:03.907 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
