2024-06-16 00:00:09.277 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-16 00:00:09.389 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-16 00:00:09.389 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-16 00:00:59.446 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-16 00:00:59.502 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-16 00:00:59.502 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-16 00:01:58.181 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-16 00:01:58.257 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-16 00:01:58.257 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-16 00:02:25.347 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-16 00:02:25.379 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-16 00:02:25.379 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-16 00:03:15.871 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-16 00:03:15.935 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-16 00:03:15.935 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-16 00:05:17.895 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-16 00:05:17.954 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-16 00:05:17.954 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-16 00:17:21.712 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-16 00:17:21.791 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-16 00:17:21.791 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-16 00:17:44.303 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
