2024-06-14 00:11:17.466 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:11:18.925 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-14 00:11:18.926 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:17:02.631 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:17:02.780 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-14 00:17:02.780 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:17:40.615 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:17:40.648 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-14 00:17:40.648 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:18:34.263 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:18:34.337 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-14 00:18:34.337 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:19:36.013 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:19:36.095 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-14 00:19:36.095 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:21:47.769 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:21:47.855 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-14 00:21:47.855 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:22:17.855 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:22:17.931 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-14 00:22:17.931 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:22:28.710 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:22:28.775 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-14 00:22:28.775 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:23:34.998 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:23:35.113 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-14 00:23:35.113 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:24:09.573 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:24:09.665 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-14 00:24:09.665 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:24:39.117 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:24:39.259 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-14 00:24:39.259 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:30:21.270 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:30:21.346 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-14 00:30:21.346 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:30:52.640 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:30:52.700 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-14 00:30:52.700 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:37:00.812 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:37:00.897 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-14 00:37:00.897 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:37:22.401 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:37:22.477 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-14 00:37:22.477 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:37:32.308 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:37:32.334 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-14 00:37:32.334 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:38:19.641 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:38:19.701 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-14 00:38:19.701 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:38:54.804 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:38:54.866 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-14 00:38:54.866 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:39:36.232 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:39:36.294 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-14 00:39:36.295 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:40:59.532 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:40:59.621 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-14 00:40:59.621 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:41:39.521 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:41:39.575 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-14 00:41:39.575 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:42:16.813 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:42:16.884 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-14 00:42:16.884 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:42:37.378 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:42:37.402 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-14 00:42:37.402 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:45:19.973 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-14 00:45:20.044 -05:00 [INF] FIN | Database - ExecuteReaderAsync
