2024-06-15 16:37:51.506 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 16:37:51.506 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 16:38:59.164 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 16:38:59.190 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 16:38:59.190 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 16:41:07.334 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 16:41:07.367 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 16:41:07.367 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 16:47:29.234 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 16:47:29.301 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 16:47:29.301 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 16:55:11.867 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 16:55:11.908 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 16:55:11.908 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:00:07.285 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:00:07.323 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:00:07.323 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:00:12.179 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:00:12.211 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:00:12.211 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:00:20.973 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:00:21.008 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:00:21.008 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:03:55.180 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:03:55.209 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:03:55.209 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:05:42.013 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:05:42.114 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:05:42.114 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:06:39.474 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:06:39.515 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:06:39.515 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:07:41.983 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:07:42.008 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:07:42.008 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:07:50.910 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:07:50.932 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:07:50.932 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:08:29.591 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:08:29.627 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:08:29.627 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:08:38.331 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:08:38.369 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:08:38.369 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:11:24.213 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:11:24.255 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:11:24.255 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:11:33.810 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:11:33.844 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:11:33.844 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:12:54.877 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:12:54.923 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:12:54.923 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:13:30.124 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:13:30.188 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:13:30.188 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:16:16.173 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:16:16.211 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:16:16.211 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:18:10.266 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:18:10.301 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:18:10.301 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:18:47.952 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:18:47.987 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:18:47.987 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:20:35.125 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:20:35.163 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:20:35.163 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:20:54.714 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:20:54.751 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:20:54.752 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:22:16.931 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:22:16.957 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:22:16.957 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:23:13.794 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:23:13.828 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:23:13.828 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
