2024-06-12 22:28:12.155 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 22:28:12.158 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 22:28:12.158 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 22:29:11.107 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 22:29:11.145 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 22:29:11.145 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 22:29:11.150 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 22:29:11.151 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 22:29:11.151 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 22:29:11.153 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 22:29:11.155 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 22:29:11.155 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 22:31:08.019 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 22:31:08.051 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 22:31:08.051 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 22:31:08.056 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 22:31:08.057 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 22:31:08.057 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 22:31:08.060 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 22:31:08.061 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 22:31:08.061 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 22:31:37.417 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 22:31:37.419 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 22:31:37.419 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 22:31:37.421 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
