2024-06-11 14:48:28.394 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-11 14:48:31.310 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-11 14:48:31.310 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-11 14:50:50.081 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-11 14:50:50.150 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-11 14:50:50.150 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-11 15:10:44.123 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-11 15:10:44.187 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-11 15:10:44.188 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-11 15:26:02.455 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-11 15:26:02.705 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-11 15:26:02.705 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
