2024-06-14 00:11:17.466 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-14 00:11:17.466 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-14 00:11:17.466 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-14 00:11:18.741 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-14 00:11:18.741 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-14 00:11:18.741 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-14 00:11:18.742 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-14 00:11:18.742 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-14 00:11:18.742 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-14 00:11:18.822 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-14 00:11:18.827 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-14 00:11:18.827 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-14 00:11:18.833 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-14 00:11:18.836 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-14 00:11:18.836 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-14 00:17:02.618 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-14 00:17:02.618 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-14 00:17:02.618 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-14 00:17:02.673 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-14 00:17:02.673 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-14 00:17:02.674 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-14 00:17:02.675 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-14 00:17:02.676 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-14 00:17:02.676 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-14 00:17:02.680 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-14 00:17:02.681 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-14 00:17:02.682 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-14 00:17:02.684 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-14 00:17:02.686 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-14 00:17:02.686 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-14 00:17:40.602 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
