2024-06-15 14:38:45.337 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:38:45.341 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:38:45.342 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:39:25.829 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:39:25.831 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:39:25.834 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:39:25.855 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:39:25.855 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:39:25.856 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:39:25.857 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:39:25.861 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:39:25.861 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:39:25.865 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:39:25.871 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:39:25.871 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:39:25.878 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:39:25.879 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:39:25.880 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:40:21.797 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:40:21.804 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:40:21.811 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:40:21.862 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:40:21.862 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:40:21.864 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:40:21.864 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:40:21.865 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:40:21.865 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:40:21.876 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:40:21.878 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:40:21.878 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:40:21.885 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:40:21.890 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:40:21.890 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:41:02.249 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:41:02.251 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:41:02.254 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:41:02.270 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:41:02.270 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:41:02.270 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:41:02.270 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:41:02.270 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:41:02.270 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:41:02.279 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:41:02.284 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:41:02.284 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:41:02.288 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:41:02.290 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:41:02.290 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:41:05.120 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:41:05.122 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:41:05.122 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:41:05.125 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:41:05.128 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:41:05.128 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:41:05.129 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:41:05.134 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:41:05.134 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:41:05.135 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:41:05.136 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:41:05.137 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:41:05.137 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:41:05.138 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:41:05.138 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:48:52.157 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:48:52.157 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:48:52.157 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:48:52.391 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:48:52.391 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:48:52.391 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:48:52.391 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:48:52.391 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:48:52.391 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:48:52.416 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:48:52.421 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:48:52.421 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:48:52.425 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:48:52.428 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:48:52.428 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:52:12.099 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:52:12.099 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:52:12.099 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:52:12.347 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:52:12.347 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:52:12.347 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:52:12.347 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:52:12.347 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:52:12.347 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:52:12.369 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:52:12.373 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:52:12.373 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:52:12.377 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:52:12.380 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:52:12.380 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:52:22.651 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:52:22.656 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:52:22.659 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:52:22.671 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:52:22.671 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:52:22.671 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:52:22.671 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:52:22.671 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:52:22.671 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:52:22.675 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:52:22.677 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:52:22.677 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:52:22.681 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 14:52:22.683 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 14:52:22.683 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:03:51.469 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:03:51.474 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:03:51.485 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:03:51.525 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:03:51.525 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:03:51.525 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:03:51.525 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:03:51.530 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:03:51.533 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:03:51.534 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:03:51.539 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:03:51.544 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:03:51.545 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:03:51.545 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:03:51.545 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:04:06.283 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:04:06.286 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:04:06.286 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:04:06.289 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:04:06.293 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:04:06.293 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
