2024-05-28 15:41:40.987 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 15:41:42.002 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 15:41:42.003 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 15:57:31.982 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 15:57:33.229 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 15:57:33.229 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 15:58:06.681 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 15:58:06.725 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 15:58:06.743 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:00:47.379 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:00:47.414 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 16:00:47.414 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:01:01.145 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:01:01.159 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 16:01:01.159 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:02:57.760 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:02:57.788 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 16:02:57.788 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:03:11.576 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:03:11.589 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 16:03:11.589 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:03:36.798 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:03:36.811 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 16:03:36.811 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:03:49.765 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:03:49.777 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 16:03:49.777 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:04:37.157 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:04:37.179 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 16:04:37.179 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:04:46.038 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:04:46.049 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 16:04:46.049 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:05:06.296 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:05:07.023 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 16:05:07.023 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:05:12.998 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:05:13.005 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 16:05:13.005 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:07:25.818 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:07:26.764 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 16:07:26.764 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:11:26.041 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:11:29.371 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 16:11:29.372 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:11:47.829 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:11:47.851 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 16:11:47.852 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:37:10.137 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:37:10.196 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 16:37:10.196 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:37:21.215 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:37:21.217 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 16:37:21.217 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:39:29.872 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:39:29.925 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 16:39:29.926 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:39:52.361 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:39:52.420 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 16:39:52.420 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:41:00.262 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:41:00.306 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 16:41:00.307 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:41:08.385 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:41:08.387 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 16:41:08.387 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:43:52.630 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:43:52.683 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 16:43:52.683 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:45:02.666 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:45:02.714 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 16:45:02.714 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:46:10.025 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:46:10.085 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 16:46:10.085 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:47:21.630 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:47:21.678 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 16:47:21.678 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:47:39.256 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:47:39.309 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 16:47:39.309 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:48:12.630 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:48:12.651 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 16:48:12.651 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:48:19.247 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:48:19.267 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 16:48:19.267 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:49:04.931 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:49:04.944 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 16:49:04.944 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:49:08.504 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:49:08.521 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 16:49:08.521 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:49:23.401 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:49:23.415 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 16:49:23.415 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:49:46.834 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:49:46.854 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 16:49:46.854 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:50:22.063 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:50:22.083 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 16:50:22.083 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:51:16.667 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 16:51:16.690 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 16:51:16.690 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 17:02:13.886 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 17:02:13.939 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 17:02:13.939 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 17:14:36.201 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 17:14:36.260 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 17:14:36.260 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 18:18:03.862 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 18:18:05.201 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 18:18:05.202 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 18:18:38.396 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 18:18:38.398 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 18:18:38.398 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 18:22:16.824 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 18:22:16.901 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 18:22:16.901 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 18:22:27.258 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 18:22:27.260 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 18:22:27.260 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 18:22:32.313 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 18:22:32.314 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 18:22:32.314 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 18:22:52.126 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 18:22:52.141 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 18:22:52.141 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 18:22:58.534 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 18:22:58.553 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 18:22:58.553 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 18:24:04.081 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 18:24:04.097 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 18:24:04.097 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 18:24:23.061 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 18:24:23.063 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 18:24:23.063 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 18:24:38.847 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 18:24:38.862 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 18:24:38.862 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 18:25:15.143 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 18:25:15.175 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 18:25:15.175 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 18:25:33.216 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 18:25:33.217 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 18:25:33.217 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 18:26:11.677 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 18:26:11.689 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-28 18:26:11.689 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-28 18:26:58.806 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
