2024-06-16 00:00:09.263 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-16 00:00:09.266 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-16 00:00:09.272 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-16 00:00:09.341 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-16 00:00:09.341 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-16 00:00:09.341 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-16 00:00:09.341 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-16 00:00:09.341 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-16 00:00:09.341 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-16 00:00:09.354 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-16 00:00:09.355 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-16 00:00:09.355 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-16 00:00:09.358 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-16 00:00:09.360 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-16 00:00:09.360 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-16 00:00:59.439 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-16 00:00:59.442 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-16 00:00:59.445 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-16 00:00:59.482 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-16 00:00:59.482 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-16 00:00:59.482 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
