2024-05-30 10:10:03.219 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-30 10:10:03.280 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-30 10:10:03.280 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-30 10:10:05.834 -05:00 [INF] INICIO | UsuarioRepository - DeleteUsuarioAsync
2024-05-30 10:10:05.835 -05:00 [INF] INICIO | Database - ExecuteNonQueryAsync
2024-05-30 10:10:05.837 -05:00 [INF] FIN | Database - ExecuteNonQueryAsync
2024-05-30 10:10:05.837 -05:00 [INF] FIN | UsuarioRepository - DeleteUsuarioAsync
2024-05-30 10:10:05.849 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-30 10:10:05.851 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-30 10:10:05.851 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-30 10:10:41.060 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-30 10:10:41.095 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-30 10:10:41.095 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-30 10:13:54.728 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-30 10:13:55.100 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-30 10:13:55.101 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-30 13:26:04.235 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-30 13:26:04.303 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-30 13:26:04.303 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-30 13:26:09.779 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-30 13:26:09.783 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-30 13:26:09.783 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-30 13:27:25.223 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-30 13:27:25.244 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-30 13:27:25.244 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-30 13:27:42.408 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-30 13:27:42.421 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-30 13:27:42.421 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-30 13:28:20.581 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-30 13:28:20.583 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-30 13:28:20.583 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-30 13:28:47.393 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-30 13:28:47.406 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-30 13:28:47.406 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-30 13:30:06.841 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-30 13:30:06.861 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-30 13:30:06.861 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-30 13:31:59.075 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-30 13:31:59.097 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-30 13:31:59.098 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-30 13:34:59.473 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-30 13:34:59.486 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-30 13:34:59.486 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-30 13:35:29.386 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-30 13:35:29.400 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-30 13:35:29.400 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-30 13:35:53.570 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-30 13:35:53.572 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-30 13:35:53.572 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-30 13:37:40.594 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-30 13:37:40.621 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-30 13:37:40.621 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-30 13:41:20.372 -05:00 [INF] INICIO | UsuarioRepository - AddUsuarioAsync
2024-05-30 13:41:20.374 -05:00 [INF] INICIO | Database - ExecuteNonQueryAsync
2024-05-30 13:41:20.392 -05:00 [INF] FIN | Database - ExecuteNonQueryAsync
2024-05-30 13:41:20.398 -05:00 [INF] FIN | UsuarioRepository - AddUsuarioAsync
2024-05-30 13:41:22.772 -05:00 [INF] INICIO | UsuarioRepository - AddUsuarioAsync
2024-05-30 13:41:22.772 -05:00 [INF] INICIO | Database - ExecuteNonQueryAsync
2024-05-30 13:41:22.806 -05:00 [WRN] SqlException | Database - ExecuteNonQueryAsync:
Cannot roll back THROW. No transaction or savepoint of that name was found.
Transaction count after EXECUTE indicates a mismatching number of BEGIN and COMMIT statements. Previous count = 0, current count = 1.
2024-05-30 13:41:22.819 -05:00 [INF] FIN | Database - ExecuteNonQueryAsync
2024-05-30 13:41:30.597 -05:00 [INF] INICIO | UsuarioRepository - AddUsuarioAsync
2024-05-30 13:41:30.597 -05:00 [INF] INICIO | Database - ExecuteNonQueryAsync
2024-05-30 13:41:30.611 -05:00 [WRN] SqlException | Database - ExecuteNonQueryAsync:
Cannot roll back THROW. No transaction or savepoint of that name was found.
Transaction count after EXECUTE indicates a mismatching number of BEGIN and COMMIT statements. Previous count = 0, current count = 1.
2024-05-30 13:41:30.624 -05:00 [INF] FIN | Database - ExecuteNonQueryAsync
2024-05-30 13:41:50.081 -05:00 [INF] INICIO | UsuarioRepository - AddUsuarioAsync
2024-05-30 13:41:50.081 -05:00 [INF] INICIO | Database - ExecuteNonQueryAsync
2024-05-30 13:41:50.111 -05:00 [WRN] SqlException | Database - ExecuteNonQueryAsync:
Cannot roll back THROW. No transaction or savepoint of that name was found.
Transaction count after EXECUTE indicates a mismatching number of BEGIN and COMMIT statements. Previous count = 0, current count = 1.
2024-05-30 13:41:50.125 -05:00 [INF] FIN | Database - ExecuteNonQueryAsync
2024-05-30 13:44:15.861 -05:00 [INF] INICIO | UsuarioRepository - AddUsuarioAsync
2024-05-30 13:44:15.861 -05:00 [INF] INICIO | Database - ExecuteNonQueryAsync
2024-05-30 13:44:15.891 -05:00 [WRN] SqlException | Database - ExecuteNonQueryAsync:
Cannot roll back THROW. No transaction or savepoint of that name was found.
Transaction count after EXECUTE indicates a mismatching number of BEGIN and COMMIT statements. Previous count = 0, current count = 1.
2024-05-30 13:44:15.904 -05:00 [INF] FIN | Database - ExecuteNonQueryAsync
2024-05-30 13:44:49.089 -05:00 [INF] INICIO | UsuarioRepository - AddUsuarioAsync
2024-05-30 13:44:51.155 -05:00 [INF] INICIO | Database - ExecuteNonQueryAsync
2024-05-30 13:44:51.190 -05:00 [WRN] SqlException | Database - ExecuteNonQueryAsync:
Cannot roll back THROW. No transaction or savepoint of that name was found.
Transaction count after EXECUTE indicates a mismatching number of BEGIN and COMMIT statements. Previous count = 0, current count = 1.
2024-05-30 13:44:51.204 -05:00 [INF] FIN | Database - ExecuteNonQueryAsync
2024-05-30 13:44:57.251 -05:00 [INF] INICIO | UsuarioRepository - AddUsuarioAsync
2024-05-30 13:46:35.664 -05:00 [INF] INICIO | Database - ExecuteNonQueryAsync
2024-05-30 14:05:53.615 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-30 14:05:54.067 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-30 14:05:54.067 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-30 14:07:23.090 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-30 14:07:23.107 -05:00 [INF] FIN | Database - ExecuteReaderAsync
