2024-06-13 00:14:58.140 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-13 00:14:58.289 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 00:14:58.289 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-13 00:14:58.291 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-13 00:14:58.292 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 00:14:58.292 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-13 00:14:58.294 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-13 00:14:58.295 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 00:14:58.296 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-13 00:16:26.927 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-13 00:16:27.010 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 00:16:27.010 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-13 00:16:28.851 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-13 00:16:28.870 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 00:16:28.870 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-13 00:16:29.912 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-13 00:16:29.938 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 00:16:29.938 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-13 00:16:30.839 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-13 00:16:30.858 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 00:16:30.858 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-13 00:17:10.503 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-13 00:17:10.505 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 00:17:10.505 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-13 00:17:10.508 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-13 00:17:10.509 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 00:17:10.509 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-13 00:17:10.511 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-13 00:17:10.512 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 00:17:10.512 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-13 00:17:11.345 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-13 00:17:11.346 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 00:17:11.347 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-13 00:17:43.863 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-13 00:17:43.886 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 00:17:43.886 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-13 00:17:44.747 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-13 00:17:44.750 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 00:17:44.750 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-13 00:17:46.556 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-13 00:17:46.567 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 00:17:46.567 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-13 00:17:48.063 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-13 00:17:48.064 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 00:17:48.064 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-13 00:18:22.695 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-13 00:18:22.697 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 00:18:22.700 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-13 00:18:23.809 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-13 00:18:23.810 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-13 00:18:23.810 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-13 00:18:23.822 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
