2024-05-16 22:25:18.702 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 22:25:18.703 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 22:25:27.007 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 22:25:27.014 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 22:25:27.014 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 22:49:29.011 -05:00 [INF] INICIO | UsuarioRepository - AddUsuarioAsync
2024-05-16 22:49:37.298 -05:00 [INF] INICIO | UsuarioRepository - AddUsuarioAsync
2024-05-16 22:49:53.907 -05:00 [INF] INICIO | UsuarioRepository - AddUsuarioAsync
2024-05-16 22:49:53.909 -05:00 [INF] INICIO | Database - ExecuteNonQueryAsync
2024-05-16 22:49:53.971 -05:00 [INF] FIN | Database - ExecuteNonQueryAsync
2024-05-16 22:49:53.971 -05:00 [INF] FIN | UsuarioRepository - AddUsuarioAsync
2024-05-16 22:50:02.732 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 22:50:02.733 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 22:50:02.733 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 22:50:04.258 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 22:50:04.260 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 22:50:04.260 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 22:50:04.929 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 22:50:04.931 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 22:50:04.931 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 22:50:34.299 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 22:50:34.318 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 22:50:34.318 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 22:51:16.306 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 22:51:56.276 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 22:53:48.262 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 22:56:48.273 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 22:57:02.240 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 22:57:02.240 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 22:58:01.771 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 22:58:11.299 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 22:58:11.299 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 22:58:51.960 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 22:58:54.656 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 22:58:54.657 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:00:28.210 -05:00 [INF] INICIO | UsuarioRepository - AddUsuarioAsync
2024-05-16 23:00:38.271 -05:00 [INF] INICIO | Database - ExecuteNonQueryAsync
2024-05-16 23:00:38.296 -05:00 [INF] FIN | Database - ExecuteNonQueryAsync
2024-05-16 23:00:38.296 -05:00 [INF] FIN | UsuarioRepository - AddUsuarioAsync
2024-05-16 23:03:34.935 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:03:36.329 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:03:36.329 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:03:44.558 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:03:45.855 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:03:45.855 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:03:52.001 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:03:53.383 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:03:53.383 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:13:23.113 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:13:26.937 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:13:26.937 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:13:36.941 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:13:36.956 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:13:36.956 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:13:37.948 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:13:37.950 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:13:37.950 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:17:44.524 -05:00 [INF] INICIO | UsuarioRepository - AddUsuarioAsync
2024-05-16 23:18:09.569 -05:00 [INF] INICIO | UsuarioRepository - AddUsuarioAsync
2024-05-16 23:18:09.570 -05:00 [INF] INICIO | Database - ExecuteNonQueryAsync
2024-05-16 23:18:09.587 -05:00 [INF] FIN | Database - ExecuteNonQueryAsync
2024-05-16 23:18:09.587 -05:00 [INF] FIN | UsuarioRepository - AddUsuarioAsync
2024-05-16 23:18:16.695 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:18:16.709 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:18:16.709 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:18:25.994 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:18:26.006 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:18:26.006 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:18:39.019 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:18:39.031 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:18:39.031 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:18:39.926 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:18:39.937 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:18:39.937 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:19:17.526 -05:00 [INF] INICIO | UsuarioRepository - AddUsuarioAsync
2024-05-16 23:19:17.526 -05:00 [INF] INICIO | Database - ExecuteNonQueryAsync
2024-05-16 23:19:43.808 -05:00 [WRN] SqlException | Database - ExecuteNonQueryAsync:
Cannot roll back THROW. No transaction or savepoint of that name was found.
Transaction count after EXECUTE indicates a mismatching number of BEGIN and COMMIT statements. Previous count = 0, current count = 1.
Cliente con este DNI ya existe.
2024-05-16 23:19:43.826 -05:00 [INF] FIN | Database - ExecuteNonQueryAsync
2024-05-16 23:24:07.360 -05:00 [INF] INICIO | UsuarioRepository - AddUsuarioAsync
2024-05-16 23:24:07.360 -05:00 [INF] INICIO | Database - ExecuteNonQueryAsync
2024-05-16 23:24:07.385 -05:00 [INF] FIN | Database - ExecuteNonQueryAsync
2024-05-16 23:24:07.386 -05:00 [INF] FIN | UsuarioRepository - AddUsuarioAsync
2024-05-16 23:24:48.489 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:24:48.506 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:24:48.506 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:24:50.854 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:24:50.867 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:24:50.867 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:24:53.604 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:24:53.615 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:24:53.615 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:24:54.299 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:24:54.313 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:24:54.313 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:24:54.552 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:24:54.569 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:24:54.569 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:24:57.309 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:24:57.322 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:24:57.322 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:25:06.199 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:25:06.218 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:25:06.218 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:25:10.983 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:25:11.000 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:25:11.000 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:25:17.092 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:25:17.108 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:25:17.108 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:26:15.196 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:26:15.211 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:26:15.211 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:26:24.086 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:26:24.098 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:26:24.098 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:27:43.525 -05:00 [INF] INICIO | UsuarioRepository - AddUsuarioAsync
2024-05-16 23:27:43.525 -05:00 [INF] INICIO | Database - ExecuteNonQueryAsync
2024-05-16 23:27:43.551 -05:00 [INF] FIN | Database - ExecuteNonQueryAsync
2024-05-16 23:27:43.551 -05:00 [INF] FIN | UsuarioRepository - AddUsuarioAsync
2024-05-16 23:28:43.879 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:28:43.896 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:28:43.896 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:29:10.872 -05:00 [INF] INICIO | UsuarioRepository - GetUsuarioByIdAsync
2024-05-16 23:29:10.874 -05:00 [INF] INICIO | Database - ExecuteScalarAsync
2024-05-16 23:29:10.884 -05:00 [INF] FIN | Database - ExecuteScalarAsync
2024-05-16 23:29:10.884 -05:00 [INF] FIN | UsuarioRepository - GetUsuarioByIdAsync
2024-05-16 23:30:07.984 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:30:07.998 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:30:07.998 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:30:09.266 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:30:09.267 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:30:09.267 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:30:14.473 -05:00 [INF] INICIO | UsuarioRepository - GetUsuarioByIdAsync
2024-05-16 23:30:14.473 -05:00 [INF] INICIO | Database - ExecuteScalarAsync
2024-05-16 23:30:14.474 -05:00 [INF] FIN | Database - ExecuteScalarAsync
2024-05-16 23:30:14.475 -05:00 [INF] FIN | UsuarioRepository - GetUsuarioByIdAsync
2024-05-16 23:30:15.569 -05:00 [INF] INICIO | UsuarioRepository - GetUsuarioByIdAsync
2024-05-16 23:30:15.569 -05:00 [INF] INICIO | Database - ExecuteScalarAsync
2024-05-16 23:30:15.570 -05:00 [INF] FIN | Database - ExecuteScalarAsync
