2024-06-05 14:39:40.821 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-05 14:39:41.157 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 14:39:41.157 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-05 14:40:44.162 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-05 14:40:44.202 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 14:40:44.202 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-05 14:45:59.779 -05:00 [INF] INICIO | UsuarioRepository - GetUsuarioByIdAsync
2024-06-05 14:45:59.780 -05:00 [INF] INICIO | Database - ExecuteScalarAsync
2024-06-05 14:46:05.595 -05:00 [INF] FIN | Database - ExecuteScalarAsync
2024-06-05 14:46:05.595 -05:00 [INF] FIN | UsuarioRepository - GetUsuarioByIdAsync
2024-06-05 14:51:16.539 -05:00 [INF] INICIO | UsuarioRepository - AddUsuarioAsync
2024-06-05 14:51:16.541 -05:00 [INF] INICIO | Database - ExecuteNonQueryAsync
2024-06-05 14:51:16.571 -05:00 [INF] FIN | Database - ExecuteNonQueryAsync
2024-06-05 14:51:16.576 -05:00 [INF] FIN | UsuarioRepository - AddUsuarioAsync
2024-06-05 14:51:40.725 -05:00 [INF] INICIO | UsuarioRepository - AddUsuarioAsync
2024-06-05 14:51:40.725 -05:00 [INF] INICIO | Database - ExecuteNonQueryAsync
2024-06-05 14:51:40.737 -05:00 [INF] FIN | Database - ExecuteNonQueryAsync
2024-06-05 14:51:40.738 -05:00 [INF] FIN | UsuarioRepository - AddUsuarioAsync
2024-06-05 14:51:54.935 -05:00 [INF] INICIO | UsuarioRepository - GetUsuarioByIdAsync
2024-06-05 14:51:54.935 -05:00 [INF] INICIO | Database - ExecuteScalarAsync
2024-06-05 14:51:58.354 -05:00 [INF] FIN | Database - ExecuteScalarAsync
2024-06-05 14:51:58.354 -05:00 [INF] FIN | UsuarioRepository - GetUsuarioByIdAsync
2024-06-05 14:53:05.819 -05:00 [INF] INICIO | UsuarioRepository - UpdateUsuarioAsync
2024-06-05 14:53:05.820 -05:00 [INF] INICIO | Database - ExecuteNonQueryAsync
2024-06-05 14:53:05.837 -05:00 [INF] FIN | Database - ExecuteNonQueryAsync
2024-06-05 14:53:05.837 -05:00 [INF] FIN | UsuarioRepository - UpdateUsuarioAsync
2024-06-05 14:53:17.427 -05:00 [INF] INICIO | UsuarioRepository - GetUsuarioByIdAsync
2024-06-05 14:53:17.427 -05:00 [INF] INICIO | Database - ExecuteScalarAsync
2024-06-05 14:53:17.429 -05:00 [INF] FIN | Database - ExecuteScalarAsync
2024-06-05 14:53:17.429 -05:00 [INF] FIN | UsuarioRepository - GetUsuarioByIdAsync
2024-06-05 14:53:36.529 -05:00 [INF] INICIO | UsuarioRepository - DeleteUsuarioAsync
2024-06-05 14:53:36.529 -05:00 [INF] INICIO | Database - ExecuteNonQueryAsync
2024-06-05 14:53:36.542 -05:00 [INF] FIN | Database - ExecuteNonQueryAsync
2024-06-05 14:53:36.542 -05:00 [INF] FIN | UsuarioRepository - DeleteUsuarioAsync
2024-06-05 14:53:42.332 -05:00 [INF] INICIO | UsuarioRepository - GetUsuarioByIdAsync
2024-06-05 14:53:42.333 -05:00 [INF] INICIO | Database - ExecuteScalarAsync
2024-06-05 14:53:42.334 -05:00 [INF] FIN | Database - ExecuteScalarAsync
2024-06-05 14:53:42.334 -05:00 [INF] FIN | UsuarioRepository - GetUsuarioByIdAsync
2024-06-05 14:53:53.207 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-05 14:53:53.210 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 14:53:53.210 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-05 14:54:10.848 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-05 14:54:10.854 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 14:54:10.854 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-05 14:54:23.262 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-05 14:54:23.264 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 14:54:23.264 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-05 14:54:48.112 -05:00 [INF] INICIO | UsuarioRepository - AddUsuarioAsync
2024-06-05 14:54:48.112 -05:00 [INF] INICIO | Database - ExecuteNonQueryAsync
2024-06-05 14:54:48.125 -05:00 [INF] FIN | Database - ExecuteNonQueryAsync
2024-06-05 14:54:48.126 -05:00 [INF] FIN | UsuarioRepository - AddUsuarioAsync
2024-06-05 15:03:18.809 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-05 15:03:19.084 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 15:03:19.084 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-05 15:13:57.260 -05:00 [INF] INICIO | UsuarioRepository - AddUsuarioAsync
2024-06-05 15:13:57.261 -05:00 [INF] INICIO | Database - ExecuteScalarAsync
2024-06-05 15:13:57.303 -05:00 [INF] FIN | Database - ExecuteScalarAsync
2024-06-05 15:14:04.636 -05:00 [INF] FIN | UsuarioRepository - AddUsuarioAsync
2024-06-05 15:14:29.245 -05:00 [INF] INICIO | UsuarioRepository - AddUsuarioAsync
2024-06-05 15:14:29.246 -05:00 [INF] INICIO | Database - ExecuteScalarAsync
2024-06-05 15:14:29.300 -05:00 [INF] FIN | Database - ExecuteScalarAsync
2024-06-05 15:14:33.896 -05:00 [INF] FIN | UsuarioRepository - AddUsuarioAsync
2024-06-05 15:26:48.166 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-05 15:26:48.257 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 15:26:48.257 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-05 15:53:50.084 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-05 15:53:50.263 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 15:53:50.263 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-05 15:56:39.781 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-05 15:56:40.043 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 15:56:40.043 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-05 15:58:47.959 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-05 15:58:48.138 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 15:58:48.138 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-05 16:00:47.732 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-05 16:00:47.916 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 16:00:47.916 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-05 16:06:16.191 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-05 16:06:16.413 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 16:06:16.414 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-05 18:11:25.997 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-05 18:11:26.230 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 18:11:26.230 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-05 18:19:45.573 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-05 18:19:45.767 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 18:19:45.768 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-05 20:58:53.022 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-05 20:58:53.411 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 20:58:53.411 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-05 21:02:17.623 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-05 21:02:17.858 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 21:02:17.858 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-05 22:46:48.449 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-05 22:46:48.619 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:46:48.619 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-05 22:59:12.403 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-05 22:59:12.616 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:59:12.616 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-05 23:09:28.914 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-05 23:09:29.125 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 23:09:29.125 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
