2024-06-15 15:21:04.686 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:21:04.686 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:21:04.744 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:21:04.751 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:21:04.751 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:21:43.371 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:21:43.379 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:21:43.379 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:21:43.468 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:21:43.474 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:21:43.474 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:23:03.292 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:23:03.315 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:23:03.315 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:23:03.370 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:23:03.376 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:23:03.376 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:24:31.428 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:24:31.433 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:24:31.433 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:24:31.599 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:24:31.804 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:24:31.804 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:25:00.934 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:25:00.938 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:25:00.938 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:25:01.016 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:25:01.026 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:25:01.026 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:25:19.458 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:25:19.465 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:25:19.465 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:25:19.553 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 15:25:19.557 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:25:19.557 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 16:35:49.004 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 16:35:49.023 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 16:35:49.023 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 16:35:49.105 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 16:35:49.126 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 16:35:49.126 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 16:37:51.431 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 16:37:51.437 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 16:37:51.437 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 16:37:51.525 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 16:37:51.531 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 16:37:51.531 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 16:38:59.139 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 16:38:59.144 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 16:38:59.144 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 16:38:59.224 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 16:38:59.234 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 16:38:59.234 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 16:41:07.304 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 16:41:07.309 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 16:41:07.309 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 16:41:07.399 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 16:41:07.404 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 16:41:07.404 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 16:47:29.202 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 16:47:29.221 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 16:47:29.221 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 16:47:29.305 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 16:47:29.315 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 16:47:29.315 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 16:55:11.832 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 16:55:11.849 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 16:55:11.849 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 16:55:11.939 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 16:55:11.943 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 16:55:11.943 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:00:07.261 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:00:07.275 -05:00 [INF] FIN | Database - ExecuteReaderAsync
