2024-06-16 00:00:09.240 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-16 00:00:09.268 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-16 00:00:09.268 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-16 00:00:09.356 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-16 00:00:09.361 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-16 00:00:09.361 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-16 00:00:59.419 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-16 00:00:59.426 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-16 00:00:59.426 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-16 00:00:59.528 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-16 00:00:59.535 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-16 00:00:59.535 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-16 00:01:58.146 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-16 00:01:58.158 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-16 00:01:58.158 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-16 00:01:58.242 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-16 00:01:58.246 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-16 00:01:58.246 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-16 00:02:25.317 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-16 00:02:25.322 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-16 00:02:25.322 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-16 00:02:25.401 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-16 00:02:25.404 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-16 00:02:25.404 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-16 00:03:15.841 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-16 00:03:15.847 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-16 00:03:15.847 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-16 00:03:15.964 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-16 00:03:15.967 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-16 00:03:15.967 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-16 00:05:17.864 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-16 00:05:17.869 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-16 00:05:17.869 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-16 00:05:17.966 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-16 00:05:17.969 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-16 00:05:17.969 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-16 00:17:21.680 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-16 00:17:21.706 -05:00 [INF] FIN | Database - ExecuteReaderAsync
