2024-06-07 22:32:31.473 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-07 22:32:31.718 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-07 22:32:32.410 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-07 22:47:34.308 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-07 22:47:34.396 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-07 22:47:34.615 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-07 22:48:39.750 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-07 22:48:39.751 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-07 22:48:39.760 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-07 22:49:45.895 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-07 22:49:45.895 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-07 22:49:45.903 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-07 22:50:36.769 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-07 22:50:36.769 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-07 22:50:36.777 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-07 22:51:52.742 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-07 22:51:52.742 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-07 22:51:53.411 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-07 22:54:32.687 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-07 22:54:32.687 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-07 22:54:32.692 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-07 22:54:58.110 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-07 22:54:58.199 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-07 22:54:58.411 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-07 22:56:36.754 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-07 22:56:36.754 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-07 22:56:36.762 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-07 22:56:56.739 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-07 22:56:56.739 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-07 22:56:56.745 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-07 22:58:06.926 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-07 22:58:06.927 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-07 22:58:06.933 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-07 23:01:51.280 -05:00 [INF] INICIO | Database - ExecuteNonQueryAsync
2024-06-07 23:01:52.906 -05:00 [INF] FIN | Database - ExecuteNonQueryAsync
2024-06-07 23:01:54.647 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoEnEspera
2024-06-07 23:01:54.648 -05:00 [INF] INICIO | Database - ExecuteNonQueryAsync
2024-06-07 23:01:54.698 -05:00 [INF] FIN | Database - ExecuteNonQueryAsync
2024-06-07 23:01:54.699 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoEnEspera
2024-06-07 23:01:54.759 -05:00 [INF] INICIO | PendientesRepository - cambiarEstadoEnSubsanacion
2024-06-07 23:01:54.759 -05:00 [INF] INICIO | PendientesRepository - cambiarEstadoEnSubsanacion
2024-06-07 23:01:54.765 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-07 23:01:54.770 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-07 23:01:56.746 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-07 23:01:56.746 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-07 23:01:56.751 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-07 23:01:56.751 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoEnEspera
2024-06-07 23:01:56.751 -05:00 [INF] INICIO | PendientesRepository - cambiarEstadoEnSubsanacion
2024-06-07 23:01:56.752 -05:00 [INF] FIN | Database - ExecuteReaderAsync
